ncodpers,ind_empleado,pais_residencia,sexo,age,AgeStatus,ind_nuevo,antiguedad,indrel,indrel_1mes,tiprel_1mes,indresi,indext,indfall,tipodom,cod_prov,ind_actividad_cliente,renta,segmento,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
35798,0,1,0,65,1,0,232,1,1.0,1,1,0,0,1,8,0,395010.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35795,0,1,0,56,0,0,232,1,1.0,0,1,0,0,1,8,0,166153.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35794,0,1,1,64,0,0,231,1,1.0,1,1,1,0,1,28,0,101719.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35791,0,1,1,57,0,0,232,1,1.0,0,1,0,0,1,28,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35789,0,1,0,55,0,0,232,1,1.0,0,1,0,0,1,28,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
35787,0,1,0,59,0,0,55,1,1.0,0,1,0,0,1,46,0,107241.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35785,0,1,0,49,0,0,232,1,1.0,0,1,0,0,1,28,1,222081.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35783,0,1,0,55,0,0,232,1,1.0,1,1,0,0,1,28,0,113551.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35782,0,1,0,60,0,0,208,1,1.0,0,1,0,0,1,28,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35781,0,1,1,53,0,0,116,1,1.0,0,1,0,0,1,40,1,155224.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
35780,0,1,1,86,1,0,228,1,1.0,1,1,0,0,1,5,0,106323.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35690,0,1,1,87,1,0,232,1,1.0,1,1,0,0,1,28,0,77611.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35778,0,1,1,64,0,0,231,1,1.0,0,1,0,0,1,28,1,170416.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35772,0,1,0,47,0,0,223,1,1.0,0,1,0,0,1,28,1,181589.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35769,0,1,0,60,0,0,232,1,1.0,0,1,0,0,1,28,1,194432.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35766,0,1,0,74,1,0,232,1,1.0,1,1,0,0,1,28,0,77062.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35765,0,1,0,49,0,0,232,1,1.0,0,1,0,0,1,28,1,84927.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35761,0,1,0,55,0,0,232,1,1.0,1,1,0,0,1,8,0,190302.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35759,0,1,1,57,0,0,229,1,1.0,0,1,0,0,1,8,1,124640.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35758,0,1,1,55,0,0,231,1,1.0,1,1,0,0,1,28,0,97858.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35757,0,1,0,53,0,0,231,1,1.0,1,1,0,0,1,28,0,97858.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35755,0,1,1,42,0,0,232,1,1.0,1,1,0,0,1,28,0,52583.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35754,0,1,0,42,0,0,218,1,1.0,0,1,0,0,1,28,1,57517.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35753,0,1,1,44,0,0,229,1,1.0,0,1,0,0,1,28,1,116057.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35773,0,1,0,83,1,0,232,1,1.0,0,1,0,0,1,28,0,86407.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35689,0,1,1,58,0,0,232,1,1.0,0,1,0,0,1,28,1,276488.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35688,0,1,0,64,0,0,88,1,1.0,0,1,0,0,1,8,0,224104.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35687,0,1,0,78,1,0,230,1,1.0,0,1,0,0,1,28,0,67059.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35615,0,1,1,47,0,0,232,1,1.0,0,1,0,0,1,8,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35613,0,1,1,66,1,0,219,1,1.0,0,1,1,0,1,28,0,556134.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35612,0,1,0,54,0,0,121,1,1.0,0,1,0,0,1,29,1,140885.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
35609,0,1,1,84,1,0,206,1,1.0,0,1,0,0,1,28,1,52506.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
35608,0,1,1,65,1,0,197,1,1.0,1,1,0,0,1,28,0,195133.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35607,0,1,0,68,1,0,162,1,1.0,1,1,0,0,1,28,0,195133.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35605,0,1,0,65,1,0,232,1,1.0,1,1,0,0,1,50,0,209473.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35604,0,1,1,63,0,0,232,1,1.0,0,1,0,0,1,50,0,209473.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35603,0,1,0,52,0,0,232,1,1.0,0,1,0,0,1,48,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35601,0,1,0,74,1,0,82,1,1.0,1,1,0,0,1,28,0,299989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35600,0,1,0,46,0,0,219,1,1.0,1,1,0,1,1,41,1,101206.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
35624,0,1,0,75,1,0,232,1,1.0,0,1,0,0,1,11,1,98314.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35599,0,1,0,48,0,0,232,1,1.0,0,1,0,0,1,28,1,239477.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35597,0,1,1,80,1,0,232,1,1.0,1,1,0,0,1,28,0,210216.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35596,0,1,1,51,0,0,232,1,1.0,1,1,0,0,1,29,0,207055.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35595,0,1,0,53,0,0,232,1,1.0,0,1,0,0,1,29,1,207055.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35592,0,1,0,0,1,0,232,1,1.0,0,1,0,0,1,28,1,86085.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35585,0,1,0,75,1,0,232,1,1.0,0,1,0,0,1,8,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35583,0,1,0,63,0,0,232,1,1.0,0,1,0,0,1,28,1,278371.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35580,0,1,0,67,1,0,231,1,1.0,1,1,0,0,1,28,1,280615.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35579,0,1,0,72,1,0,231,1,1.0,1,1,0,0,1,8,0,169615.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35578,0,1,0,45,0,0,232,1,1.0,0,1,0,0,1,28,1,126738.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
35577,0,1,0,86,1,0,168,1,1.0,0,1,0,0,1,28,0,127276.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35575,0,1,0,59,0,0,221,1,1.0,1,1,0,0,1,28,0,171605.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35598,0,1,0,82,1,0,225,1,1.0,1,1,0,0,1,28,0,418780.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35799,0,1,0,52,0,0,158,1,1.0,0,1,0,0,1,47,1,126156.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35627,0,1,1,48,0,0,232,1,1.0,0,1,0,0,1,8,0,153550.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35631,0,1,1,89,1,0,232,1,1.0,0,1,0,0,1,28,1,87242.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35685,0,1,0,54,0,0,92,1,1.0,0,1,0,0,1,8,1,81174.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35682,0,1,0,55,0,0,232,1,1.0,0,1,0,0,1,29,1,104380.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35680,0,1,0,65,1,0,232,1,1.0,1,1,0,0,1,17,0,90168.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35679,0,1,0,65,1,0,231,1,1.0,1,1,0,0,1,33,0,64745.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35678,0,1,0,41,0,0,232,1,1.0,0,1,0,0,1,28,1,98233.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35677,0,1,1,77,1,0,232,1,1.0,0,1,0,1,1,28,0,129057.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35676,0,1,0,42,0,0,232,1,1.0,0,1,0,0,1,28,1,98233.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35675,0,1,1,73,1,0,232,1,1.0,1,1,0,0,1,28,0,98233.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35673,0,1,0,52,0,0,232,1,1.0,0,1,0,0,1,8,1,184650.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35668,0,1,1,64,0,0,232,1,1.0,0,1,0,0,1,28,0,153135.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35664,0,1,0,56,0,0,232,1,1.0,1,1,0,0,1,27,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35630,0,1,0,52,0,0,232,1,1.0,0,1,0,0,1,47,1,187463.0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
35663,0,1,0,68,1,0,231,1,1.0,1,1,0,0,1,46,0,279559.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35660,0,1,0,45,0,0,232,1,1.0,0,1,0,0,1,28,1,38817.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35658,0,1,0,70,1,0,232,1,1.0,0,1,0,0,1,28,1,271405.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35656,0,1,1,88,1,0,93,1,1.0,0,1,0,0,1,8,0,127839.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35654,0,1,1,56,0,0,232,1,1.0,1,1,0,0,1,28,0,97816.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35653,0,1,0,48,0,0,155,1,1.0,0,1,0,0,1,28,1,342667.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35652,0,1,1,44,0,0,232,1,1.0,0,1,0,0,1,48,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
35647,0,1,1,0,1,0,232,1,1.0,1,1,0,0,1,28,0,445233.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35644,0,1,0,0,1,0,232,1,1.0,0,1,0,0,1,3,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35639,0,1,0,56,0,0,232,1,1.0,1,1,0,0,1,20,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35637,0,1,0,69,1,0,169,1,1.0,0,1,0,0,1,14,1,127667.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35632,0,1,0,0,1,0,232,1,1.0,1,1,0,0,1,28,0,87242.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35661,0,1,0,46,0,0,232,1,1.0,1,1,0,0,1,28,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35573,0,1,0,60,0,0,231,1,1.0,1,1,0,0,1,28,0,129628.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35803,0,1,0,54,0,0,112,1,1.0,0,1,0,0,1,48,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35807,0,1,0,62,0,0,232,1,1.0,1,1,0,0,1,31,0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35982,0,1,0,46,0,0,178,1,1.0,1,1,0,0,1,41,0,107095.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35979,0,1,1,43,0,0,232,1,1.0,0,1,0,0,1,28,1,232109.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35977,0,1,0,83,1,0,161,1,1.0,1,1,0,0,1,46,0,76840.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35974,0,1,1,44,0,0,213,1,1.0,1,1,0,0,1,8,0,136034.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35973,0,1,1,58,0,0,232,1,1.0,1,1,0,0,1,28,0,169196.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35972,0,1,0,46,0,0,232,1,1.0,0,1,0,0,1,28,1,88068.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35968,0,1,0,54,0,0,232,1,1.0,1,1,0,0,1,28,0,315356.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35967,0,1,0,48,0,0,232,1,1.0,0,1,0,0,1,41,1,77343.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35963,0,1,1,50,0,0,232,1,1.0,0,1,0,0,1,28,1,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
35962,0,1,1,53,0,0,232,1,1.0,1,1,0,0,1,36,0,126016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35960,0,1,1,0,1,0,232,1,1.0,0,1,0,0,1,36,0,126016.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35959,0,1,1,61,0,0,232,1,1.0,0,1,0,0,1,28,1,149257.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35958,0,1,0,60,0,0,232,1,1.0,0,1,0,0,1,28,1,149257.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
35953,0,1,0,62,0,0,231,1,1.0,1,1,0,0,1,8,0,116552.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35951,0,1,0,80,1,0,232,1,1.0,1,1,0,0,1,28,0,723402.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35948,0,1,1,49,0,0,232,1,1.0,0,1,0,0,1,28,1,110978.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
35943,0,1,1,59,0,0,232,1,1.0,0,1,0,0,1,28,1,98195.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35941,0,1,1,86,1,0,232,1,1.0,0,1,0,0,1,10,0,39796.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35940,0,1,1,51,0,0,232,1,1.0,1,1,0,0,1,28,0,150664.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35939,0,1,0,49,0,0,206,1,1.0,1,1,0,0,1,47,0,71465.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35938,0,1,0,48,0,0,232,1,1.0,1,1,0,0,1,8,1,409724.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35937,0,1,0,49,0,0,230,1,1.0,0,1,0,0,1,28,1,55985.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
35936,0,1,1,46,0,0,232,1,1.0,1,1,0,0,1,28,0,195890.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35983,0,1,0,44,0,0,232,1,1.0,1,1,0,0,1,29,0,169901.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35985,0,1,0,49,0,0,146,1,1.0,0,1,0,0,1,28,0,112406.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35987,0,1,0,83,1,0,226,1,1.0,0,1,0,0,1,28,1,96333.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35990,0,1,0,63,0,0,232,1,1.0,0,1,0,0,1,8,1,131302.0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
36041,0,1,0,70,1,0,164,1,1.0,0,1,0,0,1,28,1,190647.0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36035,0,1,0,50,0,0,217,1,1.0,1,1,0,0,1,3,0,135596.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36033,0,1,1,51,0,0,232,1,1.0,1,1,0,0,1,41,0,150085.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36031,0,1,0,48,0,0,232,1,1.0,0,1,0,0,1,28,1,241169.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36030,0,1,1,46,0,0,231,1,1.0,1,1,0,0,1,41,1,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36029,0,1,1,69,1,0,232,1,1.0,1,1,0,0,1,41,1,115338.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36027,0,1,1,62,0,0,106,1,1.0,1,1,0,0,1,28,0,297223.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36026,0,1,1,68,1,0,232,1,1.0,1,1,0,0,1,28,0,115846.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36024,0,1,1,61,0,0,231,1,1.0,1,1,0,0,1,18,0,103606.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36023,0,1,0,70,1,0,232,1,1.0,0,1,0,0,1,28,1,223036.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36022,0,1,0,49,0,0,232,1,1.0,1,1,0,0,1,28,0,550113.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35935,0,1,0,48,0,0,169,1,1.0,0,1,0,0,1,28,0,168608.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36018,0,1,0,62,0,0,232,1,1.0,0,1,0,0,1,46,1,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36012,0,1,1,48,0,0,232,1,1.0,0,1,0,0,1,28,1,110344.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
36011,0,1,0,57,0,0,223,1,1.0,0,1,0,0,1,41,1,154588.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36009,0,1,0,86,1,0,232,1,1.0,0,1,0,1,1,28,1,252700.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36008,0,1,0,41,0,0,232,1,1.0,1,1,0,0,1,11,0,183063.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005,0,1,1,61,0,0,232,1,1.0,1,1,0,0,1,28,0,96761.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36004,0,1,0,85,1,0,231,1,1.0,0,1,0,0,1,28,1,120821.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36003,0,1,1,79,1,0,232,1,1.0,1,1,0,0,1,8,0,128864.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36002,0,1,0,45,0,0,231,1,1.0,0,1,0,0,1,28,1,267168.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
36001,0,1,1,51,0,0,232,1,1.0,0,1,0,0,1,28,1,434458.0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1
